name,description,category_id,base_price
Smartphone X,Último modelo com câmera tripla,14,2999.9
Notebook Pro,"16GB RAM, SSD 512GB",13,4599
Camiseta Básica,"Algodão 100%, várias cores",2,49.9
Arroz 5kg,"Tipo 1, grãos selecionados",3,22.5
Sofá 3 Lugares,"Couro sintético, reclinável",4,1899
O Senhor dos Anéis,Trilogia completa,5,89.9
Boneco Action Figure,Edição colecionador,6,199.9
Bola de Futebol,Tamanho oficial,7,129.9
Perfume Importado,Fragrância exclusiva,8,299
Pneu Aro 15,Para todas as estações,9,399.9
Vaso Decorativo,Cerâmica artesanal,10,79.9
Vitamina C,"1000mg, 120 comprimidos",11,49.9
Violão Acústico,Corda de aço,12,599
Mouse Gamer,"16000DPI, RGB",1,249.9
Console de Games,Última geração,15,3499
Ração Premium,Para cães adultos,16,129.9
Carrinho de Bebê,"Reclinável, compacto",17,899
Furadeira,"550W, 13mm",18,229.9
Quadro Decorativo,Moldura em madeira,19,149.9
Kit Maquiagem,15 itens profissionais,20,179.9
Jogo de Panelas,"Antiaderente, 5 peças",21,299
Jogo de Cama,"Algodão egípcio, king size",22,399.9
Geladeira,"Duas portas, frost free",23,3499
Óculos de Sol,Proteção UV 400,24,199.9
Relógio Inteligente,Monitor cardíaco,25,799
Mochila Executiva,"Antifurto, USB",26,179.9
Brinco de Prata,Pedra semipreciosa,27,89.9
Caderno Universitário,"200 páginas, espiral",28,19.9
Vinho Tinto,Safra especial,29,79.9
Pizza Congelada,"Mussarela, 500g",30,24.9
